source_id,clean_filename,stego_filename,payload_rate,random_seed,color_mode,width,height,split,format,source_license_note,generation_status,payload_bytes,capacity_bits,embedded_bits,changed_values
source-020,pair_020_clean.png,pair_020_stego.png,0.25,5523896664466514892,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Beach at Sainte-Adresse; creator: Claude Monet (French, 1840–1926); Public Domain (AIC API designation); https://www.artic.edu/artworks/14598",generated,6143,196608,49176,24560
source-021,pair_021_clean.png,pair_021_stego.png,0.25,7339806109431692139,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Crucifixion; creator: Francisco de Zurbarán (Spanish, 1598–1664); Public Domain (AIC API designation); https://www.artic.edu/artworks/80084",generated,6143,196608,49176,24573
source-022,pair_022_clean.png,pair_022_stego.png,0.25,1309984146948653610,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Improvisation No. 30 (Cannons); creator: Vasily Kandinsky
Born Moscow (formerly Russian Empire, now Russia), 1866; died Neuilly-sur-Seine, France, 1944; Public Domain (AIC API designation); https://www.artic.edu/artworks/8991",generated,6143,196608,49176,24701
source-023,pair_023_clean.png,pair_023_stego.png,0.25,7146348061368450198,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Herring Net; creator: Winslow Homer (American, 1836–1910); Public Domain (AIC API designation); https://www.artic.edu/artworks/25865",generated,6143,196608,49176,24782
source-024,pair_024_clean.png,pair_024_stego.png,0.25,774524912870577712,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Girl by the Window; creator: Edvard Munch (Norwegian, 1863–1944); Public Domain (AIC API designation); https://www.artic.edu/artworks/154235",generated,6143,196608,49176,24547
source-025,pair_025_clean.png,pair_025_stego.png,0.25,7023395412864183266,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Bay of Marseille, Seen from L'Estaque; creator: Paul Cezanne (French, 1839–1906); Public Domain (AIC API designation); https://www.artic.edu/artworks/16487",generated,6143,196608,49176,24633
source-026,pair_026_clean.png,pair_026_stego.png,0.25,2191623213651715260,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Cupid Chastised; creator: Bartolomeo Manfredi (Italian, 1582–1622); Public Domain (AIC API designation); https://www.artic.edu/artworks/59847",generated,6143,196608,49176,24510
source-027,pair_027_clean.png,pair_027_stego.png,0.25,2457226297346279208,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Watermill with the Great Red Roof; creator: Meindert Hobbema (Dutch, 1638–1709); Public Domain (AIC API designation); https://www.artic.edu/artworks/869",generated,6143,196608,49176,24663
source-028,pair_028_clean.png,pair_028_stego.png,0.25,3800608763756156157,RGB,256,256,development,PNG,"Art Institute of Chicago; title: E10: English Dining Room of the Georgian Period, 1770–90; creator: Designed by Narcissa Niblack Thorne
American, 1882–1966; Public Domain (AIC API designation); https://www.artic.edu/artworks/43714",generated,6143,196608,49176,24508
source-029,pair_029_clean.png,pair_029_stego.png,0.25,3537991542065375638,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Ballet at the Paris Opéra; creator: Edgar Degas
French, 1834-1917; Public Domain (AIC API designation); https://www.artic.edu/artworks/61603",generated,6143,196608,49176,24378
source-030,pair_030_clean.png,pair_030_stego.png,0.25,1084020478902471193,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Chicago Stock Exchange Trading Room: Reconstruction at the Art Institute of Chicago; creator: Adler & Sullivan, original architects; American, 1883-1896
Vinci & Kenny, reconstruction architects; American, 1970-1977; Public Domain (AIC API designation); https://www.artic.edu/artworks/156538",generated,6143,196608,49176,24615
source-031,pair_031_clean.png,pair_031_stego.png,0.25,2358909595034814749,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Fountain, Villa Torlonia, Frascati, Italy; creator: John Singer Sargent (American, 1856–1925); Public Domain (AIC API designation); https://www.artic.edu/artworks/69780",generated,6143,196608,49176,24644
source-032,pair_032_clean.png,pair_032_stego.png,0.25,1034189406941167801,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Lozenge Composition with Yellow, Black, Blue, Red, and Gray; creator: Piet Mondrian
Dutch, 1872–1944; Public Domain (AIC API designation); https://www.artic.edu/artworks/109819",generated,6143,196608,49176,24527
source-033,pair_033_clean.png,pair_033_stego.png,0.25,964659124667752821,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Nocturne: Blue and Gold—Southampton Water; creator: James McNeill Whistler (American, 1834–1903); Public Domain (AIC API designation); https://www.artic.edu/artworks/56905",generated,6143,196608,49176,24602
source-034,pair_034_clean.png,pair_034_stego.png,0.25,4985474090123961145,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Acrobats at the Cirque Fernando (Francisca and Angelina Wartenberg); creator: Pierre-Auguste Renoir (French, 1841–1919); Public Domain (AIC API designation); https://www.artic.edu/artworks/81558",generated,6143,196608,49176,24726
source-035,pair_035_clean.png,pair_035_stego.png,0.25,7429993162993392160,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Landscape with Saint John on Patmos; creator: Nicolas Poussin (French, 1594–1665); Public Domain (AIC API designation); https://www.artic.edu/artworks/5848",generated,6143,196608,49176,24607
source-036,pair_036_clean.png,pair_036_stego.png,0.25,4307321221069148672,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Fishing Boats with Hucksters Bargaining for Fish; creator: Joseph Mallord William Turner (English, 1775–1851); Public Domain (AIC API designation); https://www.artic.edu/artworks/4796",generated,6143,196608,49176,24621
source-037,pair_037_clean.png,pair_037_stego.png,0.25,6753720249457877699,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Love of Winter; creator: George Wesley Bellows (American, 1882–1925); Public Domain (AIC API designation); https://www.artic.edu/artworks/109780",generated,6143,196608,49176,24546
source-038,pair_038_clean.png,pair_038_stego.png,0.25,3805478640361539141,RGB,256,256,development,PNG,"Art Institute of Chicago; title: The Millinery Shop; creator: Edgar Degas (French, 1834–1917); Public Domain (AIC API designation); https://www.artic.edu/artworks/14572",generated,6143,196608,49176,24664
source-039,pair_039_clean.png,pair_039_stego.png,0.25,4762378480853854828,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Old Man with a Gold Chain; creator: Rembrandt van Rijn (Dutch, 1606–1669); Public Domain (AIC API designation); https://www.artic.edu/artworks/95998",generated,6143,196608,49176,24685
source-040,pair_040_clean.png,pair_040_stego.png,0.25,794490117125967059,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Hercules and the Lernaean Hydra; creator: Gustave Moreau (French, 1826-1898); Public Domain (AIC API designation); https://www.artic.edu/artworks/20579",generated,6143,196608,49176,24530
source-041,pair_041_clean.png,pair_041_stego.png,0.25,4297604682137963293,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Shiva as Lord of the Dance (Nataraja); creator: India
Tamil Nadu; Public Domain (AIC API designation); https://www.artic.edu/artworks/24548",generated,6143,196608,49176,24659
source-042,pair_042_clean.png,pair_042_stego.png,0.25,692953672712630034,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Coffin and Mummy of Paankhaenamun; creator: Egyptian; Thebes (now Luxor), Egypt; Public Domain (AIC API designation); https://www.artic.edu/artworks/64339",generated,6143,196608,49176,24683
source-043,pair_043_clean.png,pair_043_stego.png,0.25,4615955455255951881,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Male Figure (Nkisi Nkondi); creator: Kongo: Vili
Republic of the Congo
Central Africa; Public Domain (AIC API designation); https://www.artic.edu/artworks/151358",generated,6143,196608,49176,24479
source-044,pair_044_clean.png,pair_044_stego.png,0.25,611101640227797776,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Woman before an Aquarium; creator: Henri Matisse
French, 1869–1954; Public Domain (AIC API designation); https://www.artic.edu/artworks/27984",generated,6143,196608,49176,24378
source-045,pair_045_clean.png,pair_045_stego.png,0.25,5602892516732924548,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Equestrienne (At the Cirque Fernando); creator: Henri de Toulouse-Lautrec (French, 1864–1901); Public Domain (AIC API designation); https://www.artic.edu/artworks/16146",generated,6143,196608,49176,24579
source-046,pair_046_clean.png,pair_046_stego.png,0.25,7897036445151309102,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Jesus Mocked by the Soldiers; creator: Édouard Manet (French, 1832–1883); Public Domain (AIC API designation); https://www.artic.edu/artworks/16499",generated,6143,196608,49176,24612
source-047,pair_047_clean.png,pair_047_stego.png,0.25,3884738016893050252,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Mountain Brook; creator: Albert Bierstadt (American, born Solingen, Prussia, now Germany, 1830–1902); Public Domain (AIC API designation); https://www.artic.edu/artworks/146701",generated,6143,196608,49176,24542
source-048,pair_048_clean.png,pair_048_stego.png,0.25,1718422674941234067,RGB,256,256,development,PNG,"Art Institute of Chicago; title: A Young Lady with a Parrot; creator: Rosalba Carriera
Italian, 1673-1757; Public Domain (AIC API designation); https://www.artic.edu/artworks/103887",generated,6143,196608,49176,24753
source-049,pair_049_clean.png,pair_049_stego.png,0.25,7041255777412228079,RGB,256,256,development,PNG,"Art Institute of Chicago; title: After the Hurricane, Bahamas; creator: Winslow Homer
American, 1836-1910; Public Domain (AIC API designation); https://www.artic.edu/artworks/16776",generated,6143,196608,49176,24641
source-050,pair_050_clean.png,pair_050_stego.png,0.25,1789447069407115791,RGB,256,256,development,PNG,"Art Institute of Chicago; title: Still Life with Game Fowl; creator: Juan Sánchez Cotán (Spanish, 1560–1627); Public Domain (AIC API designation); https://www.artic.edu/artworks/84709",generated,6143,196608,49176,24430
source-051,pair_051_clean.png,pair_051_stego.png,0.25,8448214747726652665,L,256,256,development,PNG,"Art Institute of Chicago; title: Arlésiennes (Mistral); creator: Paul Gauguin (French, 1848–1903); Public Domain (AIC API designation); https://www.artic.edu/artworks/19339",generated,2047,65536,16408,8224
source-052,pair_052_clean.png,pair_052_stego.png,0.25,3958937166647445970,L,256,256,development,PNG,"Art Institute of Chicago; title: A City Park; creator: William Merritt Chase (American, 1849–1916); Public Domain (AIC API designation); https://www.artic.edu/artworks/28849",generated,2047,65536,16408,8252
source-053,pair_053_clean.png,pair_053_stego.png,0.25,3709278735856791500,L,256,256,development,PNG,"Art Institute of Chicago; title: At Mouquin's; creator: William Glackens (American, 1870–1938); Public Domain (AIC API designation); https://www.artic.edu/artworks/15401",generated,2047,65536,16408,8244
source-054,pair_054_clean.png,pair_054_stego.png,0.25,8357303851475977529,L,256,256,development,PNG,"Art Institute of Chicago; title: The Captive Slave (Ira Aldridge); creator: John Philip Simpson (English, 1782–1847); Public Domain (AIC API designation); https://www.artic.edu/artworks/193664",generated,2047,65536,16408,8229
source-055,pair_055_clean.png,pair_055_stego.png,0.25,507451416406281579,L,256,256,development,PNG,"Art Institute of Chicago; title: The Home of the Heron; creator: George Inness (American, 1825–1894); Public Domain (AIC API designation); https://www.artic.edu/artworks/64724",generated,2047,65536,16408,8164
source-056,pair_056_clean.png,pair_056_stego.png,0.25,123038031496376891,L,256,256,development,PNG,"Art Institute of Chicago; title: Interrupted Reading; creator: Jean-Baptiste-Camille Corot (French, 1796–1875); Public Domain (AIC API designation); https://www.artic.edu/artworks/81512",generated,2047,65536,16408,8217
source-057,pair_057_clean.png,pair_057_stego.png,0.25,8927533759831225862,L,256,256,development,PNG,"Art Institute of Chicago; title: Bust of a Youth (Saint John the Baptist); creator: Francesco Mochi (Italian, 1580–1654); Public Domain (AIC API designation); https://www.artic.edu/artworks/73413",generated,2047,65536,16408,8158
source-058,pair_058_clean.png,pair_058_stego.png,0.25,5019579540904975522,L,256,256,development,PNG,"Art Institute of Chicago; title: Fish (Still Life); creator: Édouard Manet (French, 1832–1883); Public Domain (AIC API designation); https://www.artic.edu/artworks/44892",generated,2047,65536,16408,8193
source-059,pair_059_clean.png,pair_059_stego.png,0.25,3084550987643390732,L,256,256,development,PNG,"Art Institute of Chicago; title: Judith; creator: Jan Sanders van Hemessen (Netherlandish, active c. 1519–1556); Public Domain (AIC API designation); https://www.artic.edu/artworks/4575",generated,2047,65536,16408,8141
source-060,pair_060_clean.png,pair_060_stego.png,0.25,5543868049179027276,L,256,256,development,PNG,"Art Institute of Chicago; title: The Interior of the Palm House on the Pfaueninsel Near Potsdam; creator: Carl Blechen (German, 1798–1840); Public Domain (AIC API designation); https://www.artic.edu/artworks/144969",generated,2047,65536,16408,8288
source-061,pair_061_clean.png,pair_061_stego.png,0.25,1305551064284408202,L,256,256,validation,PNG,"Art Institute of Chicago; title: Croquet Scene; creator: Winslow Homer (American, 1836–1910); Public Domain (AIC API designation); https://www.artic.edu/artworks/44018",generated,2047,65536,16408,8147
source-062,pair_062_clean.png,pair_062_stego.png,0.25,3025602277894643269,L,256,256,validation,PNG,"Art Institute of Chicago; title: View of Cotopaxi; creator: Frederic Edwin Church (American, 1826–1900); Public Domain (AIC API designation); https://www.artic.edu/artworks/76571",generated,2047,65536,16408,8160
source-063,pair_063_clean.png,pair_063_stego.png,0.25,4757051431556911833,L,256,256,validation,PNG,"Art Institute of Chicago; title: In the Sea; creator: Arnold Böcklin (Swiss, 1827–1901); Public Domain (AIC API designation); https://www.artic.edu/artworks/110507",generated,2047,65536,16408,8236
source-064,pair_064_clean.png,pair_064_stego.png,0.25,7312883377584185487,L,256,256,validation,PNG,"Art Institute of Chicago; title: Beata Beatrix; creator: Dante Gabriel Rossetti (English, 1828–1882); Public Domain (AIC API designation); https://www.artic.edu/artworks/16551",generated,2047,65536,16408,8175
source-065,pair_065_clean.png,pair_065_stego.png,0.25,6884198239414318140,L,256,256,validation,PNG,"Art Institute of Chicago; title: Still Life with Dead Game, Fruits, and Vegetables in a Market; creator: Frans Snyders (Flemish, 1579-1657); Public Domain (AIC API designation); https://www.artic.edu/artworks/62042",generated,2047,65536,16408,8257
source-066,pair_066_clean.png,pair_066_stego.png,0.25,8457262468436883505,L,256,256,validation,PNG,"Art Institute of Chicago; title: The Advance-Guard, or The Military Sacrifice (The Ambush); creator: Frederic Remington (American, 1861–1909); Public Domain (AIC API designation); https://www.artic.edu/artworks/97910",generated,2047,65536,16408,8186
source-067,pair_067_clean.png,pair_067_stego.png,0.25,7873453763443631443,L,256,256,validation,PNG,"Art Institute of Chicago; title: Frederick Douglass; creator: Samuel J. Miller
American, 1822–1888; Public Domain (AIC API designation); https://www.artic.edu/artworks/145681",generated,2047,65536,16408,8192
source-068,pair_068_clean.png,pair_068_stego.png,0.25,3573638202073993979,L,256,256,validation,PNG,"Art Institute of Chicago; title: Ceremonial Knife (Tumi); creator: Chimú
Lambayeque Valley, north coast, Peru; Public Domain (AIC API designation); https://www.artic.edu/artworks/18757",generated,2047,65536,16408,8189
source-069,pair_069_clean.png,pair_069_stego.png,0.25,5187879158926943514,L,256,256,validation,PNG,"Art Institute of Chicago; title: The Battle between the Gods and the Giants; creator: Joachim Antonisz. Wtewael (Dutch, c. 1566–1638); Public Domain (AIC API designation); https://www.artic.edu/artworks/105466",generated,2047,65536,16408,8288
source-070,pair_070_clean.png,pair_070_stego.png,0.25,5234661943473090947,L,256,256,validation,PNG,"Art Institute of Chicago; title: Madame Cezanne in a Yellow Chair; creator: Paul Cezanne (French, 1839–1906); Public Domain (AIC API designation); https://www.artic.edu/artworks/62371",generated,2047,65536,16408,8240
source-071,pair_071_clean.png,pair_071_stego.png,0.25,7186579705728188153,L,256,256,validation,PNG,"Art Institute of Chicago; title: Flower Clouds; creator: Odilon Redon
French, 1840-1916; Public Domain (AIC API designation); https://www.artic.edu/artworks/76395",generated,2047,65536,16408,8200
source-072,pair_072_clean.png,pair_072_stego.png,0.25,4661897107270117843,L,256,256,validation,PNG,"Art Institute of Chicago; title: The Fountains; creator: Hubert Robert (French, 1733-1808); Public Domain (AIC API designation); https://www.artic.edu/artworks/57051",generated,2047,65536,16408,8254
source-073,pair_073_clean.png,pair_073_stego.png,0.25,5197620284495109743,L,256,256,validation,PNG,"Art Institute of Chicago; title: Amédée-David, the Comte de Pastoret; creator: Jean-Auguste-Dominique Ingres (French, 1780-1867); Public Domain (AIC API designation); https://www.artic.edu/artworks/111317",generated,2047,65536,16408,8253
source-074,pair_074_clean.png,pair_074_stego.png,0.25,1384193505356542608,L,256,256,validation,PNG,"Art Institute of Chicago; title: Woman Reading; creator: Édouard Manet (French, 1832–1883); Public Domain (AIC API designation); https://www.artic.edu/artworks/14591",generated,2047,65536,16408,8217
source-075,pair_075_clean.png,pair_075_stego.png,0.25,3322859249633387722,L,256,256,validation,PNG,"Art Institute of Chicago; title: Virgin and Child with the Young Saint John the Baptist; creator: Correggio (Antonio Allegri; Italian, 1489–1534); Public Domain (AIC API designation); https://www.artic.edu/artworks/23972",generated,2047,65536,16408,8104
source-076,pair_076_clean.png,pair_076_stego.png,0.25,4981483646892895264,L,256,256,validation,PNG,"Art Institute of Chicago; title: The Annunciation; creator: Jean Hey (Master of Moulins; Netherlandish, c. 1480-c.1504); Public Domain (AIC API designation); https://www.artic.edu/artworks/16327",generated,2047,65536,16408,8211
source-077,pair_077_clean.png,pair_077_stego.png,0.25,7872745854825211023,L,256,256,validation,PNG,"Art Institute of Chicago; title: Stela of Amenemhat and Hemet; creator: Egyptian; probably Thebes (now Luxor), Egypt; Public Domain (AIC API designation); https://www.artic.edu/artworks/127859",generated,2047,65536,16408,8204
source-078,pair_078_clean.png,pair_078_stego.png,0.25,4254430047217135674,L,256,256,validation,PNG,"Art Institute of Chicago; title: Merahi metua no Tehamana (Tehamana Has Many Parents or The Ancestors of Tehamana); creator: Paul Gauguin (French, 1848–1903); Public Domain (AIC API designation); https://www.artic.edu/artworks/60812",generated,2047,65536,16408,8265
source-079,pair_079_clean.png,pair_079_stego.png,0.25,1855894405630083634,L,256,256,validation,PNG,"Art Institute of Chicago; title: Madame de Pastoret and Her Son; creator: Jacques-Louis David (French, 1748–1825); Public Domain (AIC API designation); https://www.artic.edu/artworks/27307",generated,2047,65536,16408,8162
source-080,pair_080_clean.png,pair_080_stego.png,0.25,4142904002760257207,L,256,256,validation,PNG,"Art Institute of Chicago; title: Portrait Vessel; creator: Ceramist unknown (Moche)
Southern Moche region, north coast, Peru; Public Domain (AIC API designation); https://www.artic.edu/artworks/91620",generated,2047,65536,16408,8149
source-081,pair_081_clean.png,pair_081_stego.png,0.25,1110421124735214297,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: Magnolias on Light Blue Velvet Cloth; creator: Martin Johnson Heade (American, 1819–1904); Public Domain (AIC API designation); https://www.artic.edu/artworks/100829",generated,2047,65536,16408,8290
source-082,pair_082_clean.png,pair_082_stego.png,0.25,1931186318466913378,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: Boy on a Ram; creator: Francisco José de Goya y Lucientes (Spanish, 1746–1828); Public Domain (AIC API designation); https://www.artic.edu/artworks/111559",generated,2047,65536,16408,8127
source-083,pair_083_clean.png,pair_083_stego.png,0.25,6963996120630672548,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: The Nativity; creator: Fra Bartolommeo (Baccio della Porta; Italian, 1472-1517); Public Domain (AIC API designation); https://www.artic.edu/artworks/184371",generated,2047,65536,16408,8230
source-084,pair_084_clean.png,pair_084_stego.png,0.25,7295270699716024479,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: Autumn Maples with Poem Slips; creator: Tosa Mitsuoki
Japanese, 1617-1691; Public Domain (AIC API designation); https://www.artic.edu/artworks/127644",generated,2047,65536,16408,8144
source-085,pair_085_clean.png,pair_085_stego.png,0.25,3956221400001590648,L,256,256,held_out_test,PNG,Art Institute of Chicago; title: Portrait Bust of a Woman; creator: Roman; Public Domain (AIC API designation); https://www.artic.edu/artworks/159136,generated,2047,65536,16408,8233
source-086,pair_086_clean.png,pair_086_stego.png,0.25,2154185766022135378,L,256,256,held_out_test,PNG,Art Institute of Chicago; title: Retable and Frontal of the Life of Christ and the Virgin; creator: Spanish; Public Domain (AIC API designation); https://www.artic.edu/artworks/88793,generated,2047,65536,16408,8191
source-087,pair_087_clean.png,pair_087_stego.png,0.25,4217947799580275199,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: Icebound; creator: John Henry Twachtman (American, 1853–1902); Public Domain (AIC API designation); https://www.artic.edu/artworks/72801",generated,2047,65536,16408,8136
source-088,pair_088_clean.png,pair_088_stego.png,0.25,742859419469068963,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: Henri Degas and His Niece Lucie Degas (The Artist's Uncle and Cousin); creator: Edgar Degas (French, 1834–1917); Public Domain (AIC API designation); https://www.artic.edu/artworks/14574",generated,2047,65536,16408,8148
source-089,pair_089_clean.png,pair_089_stego.png,0.25,377681142090151165,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: Still Life—Strawberries, Nuts, &c.; creator: Raphaelle Peale (American, 1774–1825); Public Domain (AIC API designation); https://www.artic.edu/artworks/120154",generated,2047,65536,16408,8296
source-090,pair_090_clean.png,pair_090_stego.png,0.25,2311325571143341253,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: Cabin in the Cotton; creator: Horace Pippin (American, 1888–1946); Public Domain (AIC API designation); https://www.artic.edu/artworks/111617",generated,2047,65536,16408,8269
source-091,pair_091_clean.png,pair_091_stego.png,0.25,7888763617114219270,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: Armida Encounters the Sleeping Rinaldo; creator: Giovanni Battista Tiepolo (Italian, 1696–1770); Public Domain (AIC API designation); https://www.artic.edu/artworks/16488",generated,2047,65536,16408,8171
source-092,pair_092_clean.png,pair_092_stego.png,0.25,4822481424940417416,L,256,256,held_out_test,PNG,"Art Institute of Chicago; title: The Beheading of Saint John the Baptist; creator: Giovanni di Paolo (Italian, 1398–1482); Public Domain (AIC API designation); https://www.artic.edu/artworks/16169",generated,2047,65536,16408,8200
